city,street,zip,state,lat,lon,time,time_not_allowed,latlong,Multiline_location,day_of_week
THOUSAND OAKS,133 N Sunol Dr,91325-2610,CA,34.48222219,-118.5879,2011-04-13T00:00:00.000Z,8/12/08,"(33.97046, -118.39548)","600 S MC CADDEN P
LOS ANGELES 90005
(34.063541, -118.337147)",6
CANYON COUNTRY,4560 E Cesar Chavez Ave,90703-2682,CA,34.48222219,-118.4228,2011-02-10T06:49:00.000Z,4/21/08,"(34.02286, -118.20575)","7940 RANCHITO AVE
PANORAMA CITY 91402
(34.214776, -118.434614)",4
PACOIMA,8405 Beverly Blvd,90006-5796,CA,34.48222219,-118.4239,1996-09-28T00:00:00.000Z,8/21/05,"(34.04184, -118.23305)","1559 N SAINT ANDREWS PLACE
LOS ANGELES 90028
(34.098982, -118.311449)",6
ENCINO,23772 Newhall Ave,91307-1258,CA,34.21444441,-118.2909,2009-08-11T14:47:00.000Z,10/19/05,"(33.98899, -118.30803)","4620 CESAR CHAVEZ AVE
LOS ANGELES 90022
(34.040597, -118.164131)",3
CITY OF INDUSTRY,30257 San Martinez Rd,84121-7033,CA,34.37722219,-118.2863,2000-05-15T00:00:00.000Z,6/25/08,"(34.22135, -118.45107)","4202 FOUNTAIN AVE
LOS ANGELES 90029
(34.095783, -118.280709)",3
AGOURA HILLS,27225 Camp Plenty Rd,91306-2225,CA,34.54722219,-118.3013,2009-03-03T08:02:00.000Z,1/29/15,"(34.03912, -118.33001)","1157 S BERENDO ST
LOS ANGELES 90006
(34.049614, -118.293699)",1
SIMI VALLEY,1027 Linden Ave,91326-1833,CA,34.38611108,-118.3342,2010-03-04T13:25:00.000Z,2/4/15,"(34.02335, -118.21729)","8600 KESTER AVE
PANORAMA CITY 91402
(34.226464, -118.457469)",3
DALLAS,8330 Reseda Blvd,91311-3343,CA,34.32916664,-118.3104,2010-09-09T09:17:00.000Z,2/5/15,"(34.04638, -118.23985)","860 W 112TH ST
LOS ANGELES 90044
(33.933364, -118.290687)",4
DETROIT,7326 Jordan Ave.,90004,CA,34.54722219,-118.3533,1999-03-30T00:00:00.000Z,2/5/15,"(34.10068, -118.33791)","416 N CORNWELL ST
LOS ANGELES 90033
(34.048781, -118.209001)",2
VAN NUYS,4100 Baldwin Park Blvd,91321-3135,CA,34.65361108,-118.3223,2013-01-23T15:35:00.000Z,2/6/15,"(34.02346, -118.22988)","1530 N WILTON PL
LOS ANGELES 90028
(34.100202, -118.313627)",5
KANSAS CITY,100 W. Clary Ave.,91324-4044,CA,34.22611108,-118.3259,2011-04-01T14:04:00.000Z,2/7/15,"(34.01709, -118.22075)","6351 W OLYMPIC BL
LOS ANGELES 90048
(34.058783, -118.369151)",2
BURBANK,9200 Mines Ave,91311-4069,CA,34.26777775,-118.3337,2011-04-21T08:31:00.000Z,2/7/15,"(33.97715, -118.27849)","11600 Aeolian St
Whittier 90606
(33.966235, -118.067882)",4
NEWBURY PARK,Avalon Bl,90004,CA,34.26777775,-118.3303,2011-05-17T13:24:00.000Z,2/7/15,"(33.97876, -118.27849)","2481 W 11TH ST
LOS ANGELES 90006
(34.05079, -118.287371)",6
OAKBROOK TERRACE,York Bl,91311-2904,CA,34.26777775,-118.3189,2011-08-09T09:56:00.000Z,2/10/15,"(34.04982, -118.35955)","1000 GRATTAN ST
LOS ANGELES 90015
(34.048227, -118.273645)",6
GRANADA HILLS,National Bl,91335-3756,CA,34.2683333,-118.3683,2011-03-03T11:37:00.000Z,2/11/15,"(34.04406, -118.26707)","750 E 49TH ST
LOS ANGELES 90011
(33.998646, -118.263024)",1
WESTLAKE VILLAGE,Lincoln Bl,91311-2212,CA,34.26777775,-118.3629,2012-01-31T10:38:00.000Z,2/12/15,"(34.10001, -118.32968)","21040 HART ST
CANOGA PARK 91303
(34.197406, -118.591686)",3
WEST COVINA,Balboa Bl,94019-1086,CA,34.26888886,-118.345,2012-01-19T08:00:00.000Z,2/12/15,"(34.22166, -118.45198)","745 S WILTON PL
LOS ANGELES 90005
(34.058575, -118.314259)",6
MOORPARK,Oliver Vickery Circle Wy,91311-2904,CA,34.2683333,-118.3445,2012-02-29T14:00:00.000Z,2/17/15,"(34.06579, -118.23753)","24740 Paseo Primario
Calabasas 91302
(34.139204, -118.651808)",3
BEVERLY HILLS,Chase St,90004,CA,34.2683333,-118.3464,2012-05-31T15:44:00.000Z,2/18/15,"(34.09066, -118.30279)","4203 FOUNTAIN AVE
LOS ANGELES 90029
(34.095783, -118.280709)",6
SHERMAN OAKS,Vineland Av,91306-2124,CA,34.2683333,-118.3545,2013-01-08T14:39:00.000Z,2/19/15,"(34.02864, -118.28283)","16701 MAYALL ST
NORTH HILLS 91343
(34.253839, -118.495684)",5
SAINT LOUIS,22nd St,91311-5216,CA,34.26777775,-118.3544,2013-01-23T08:24:00.000Z,2/21/15,"(34.27209, -118.46104)","3400 WILSHIRE BLVD
LOS ANGELES 90010
(34.061765, -118.297931)",3
IRVINE,McConnell Av,90004,CA,34.2683333,-118.3753,2013-03-08T07:42:00.000Z,2/21/15,"(34.21744, -118.60384)","2705 E HOSTETTER ST
LOS ANGELES 90022
(34.025512, -118.219634)",5
SANTA MONICA,Woodman Av,07656-1870,CA,34.32555553,-118.2996,2012-09-11T13:28:00.000Z,2/22/15,"(34.07817, -118.26126)","647 W GARDENA BLVD
GARDENA 90247
(33.881712, -118.286571)",5
PHOENIX,Ballona Creek,91311-2832,CA,34.27222219,-118.323,2013-05-13T10:26:00.000Z,2005,"(34.06184, -118.28322)","19130 TULSA ST
NORTHRIDGE 91326
(34.267908, -118.548882)",6
ROSEMEAD,03 mi w/o Vermont Av,92078-2802,CA,34.2258333,-118.3221,2012-11-19T15:52:00.000Z,2007,"(34.31774, -118.41846)","1521 N HIGHLAND AVE
LOS ANGELES 90028
(34.099203, -118.338684)",6
DEERFIELD,Gaffey St,91326-4060,CA,34.2683333,-118.3527,2013-06-19T07:28:00.000Z,2005,"(34.01742, -118.21719)","9373 MOONBEAM AVE
PANORAMA CITY 91402
(34.241031, -118.445878)",5
HARRISBURG,200' E/O Hillcrest Av,90004,CA,34.32555553,-118.2991,2013-07-18T14:23:00.000Z,2005,"(34.03968, -118.32772)","2224 WALGROVE AVE
LOS ANGELES 90066
(33.999414, -118.448029)",1
WOODLAND HILLS,Haskell Av,90004,CA,34.2683333,-118.3103,2019-08-18T00:00:00.000Z,2005,"(34.16154, -118.53164)","6017 FRANKLIN AVE
LOS ANGELES 90028
(34.105258, -118.320907)",5
CALABASAS,Canoga Av,91313-4536,CA,34.54722219,-118.359,2013-07-29T15:42:00.000Z,2008,"(34.06493, -118.2356)","9756 OSO AVE
CHATSWORTH 91311
(34.247315, -118.575398)",4
GLENDALE,White Oak Av,91360-2115,CA,34.26888886,-118.2907,2012-08-10T12:37:00.000Z,2008,"(34.10506, -118.31873)","825 W 60TH ST
LOS ANGELES 90044
(33.985529, -118.287841)",5
SAUGUS,100' E/O Western Av,90004,CA,34.26888886,-118.3083,2013-09-30T12:58:00.000Z,2005,"(34.11109, -118.28759)","2100 W 156TH ST
GARDENA 90249
(33.889254, -118.316467)",3
COLUMBUS,Shoup Av,90004,CA,34.54722219,-118.3625,2013-10-25T06:45:00.000Z,2008,"(34.1733, -118.57071)","421 ENTRADA DR
SANTA MONICA 90402
(34.03172, -118.51167)",7
VENTURA,Oxnard St,91387-4267,CA,34.26916664,-118.3559,2013-10-29T00:00:00.000Z,2008,"(34.0884, -118.22191)","3109 SIXTH AVE
LOS ANGELES 90018
(34.026626, -118.323598)",7
CULVER CITY,Roxford St,90004,CA,34.26916664,-118.3517,2013-11-05T09:23:00.000Z,2012,"(34.2316, -118.54492)","1907 EIGHTH ST
SAN FERNANDO 91340
(34.301949, -118.43006)",4
LA CRESCENTA,Washington Bl,91331-3635,CA,34.54722219,-118.3539,2013-11-06T06:49:00.000Z,2013,"(34.03705, -118.27728)","7211 BELL AVE
LOS ANGELES 90001
(33.973801, -118.238083)",1
SAN ANTONIO,Wilshire Bl/Veteran Av,91316-3402,CA,34.26888886,-118.3438,2013-12-06T06:50:00.000Z,2011,"(34.07313, -118.2759)","1211 S HOBART BLVD
LOS ANGELES 90006
(34.04862, -118.305229)",4
RAMONA,N bank of LA River,91311-2300,CA,34.32555553,-118.3349,2013-12-17T07:25:00.000Z,2008,"(34.0921, -118.21073)","1015 S LORENA ST
LOS ANGELES 90023
(34.025415, -118.202466)",6
SOMIS,Temescal Canyon Rd,91311-2978,CA,34.32555553,-118.3386,2014-01-07T00:00:00.000Z,2005,"(34.13801, -118.21176)","14030 WEDDINGTON ST
VAN NUYS 91401
(34.166682, -118.438974)",2
SUNLAND,Burbank Bl,90004,CA,34.54722219,-118.3258,2014-01-10T10:05:00.000Z,2003,"(34.03691, -118.22307)","6170 LOCKHURST DR
WOODLAND HILLS 91367
(34.1831, -118.64779)",4
EL MONTE,Palos Verdes St,90004,CA,34.22611108,-118.3322,2014-01-10T10:12:00.000Z,2005,"(33.73863, -118.28615)","6222 STATE ST
HUNTINGTON PARK 90255
(33.982455, -118.21259)",3
MISSION HILLS,Mesa St,91304-3116,CA,34.26777775,-118.3159,2014-01-29T06:37:00.000Z,2006,"(34.07229, -118.33875)","22005 DEVONSHIRE
CHATSWORTH 91311
(34.257214, -118.60693)",6
PASADENA,Pacific Av,90004,CA,34.26777775,-118.3082,2014-02-06T15:26:00.000Z,2003,"(34.16097, -118.51878)","22309 CATSKILL AVE
CARSON 90745
(33.823646, -118.271413)",2
MONSEY,Beacon St,90004,CA,34.26777775,-118.371,2013-12-18T14:56:00.000Z,2003,"(34.05322, -118.25601)","3754 DUNN DRIVE
LOS ANGELES 90034
(34.023946, -118.400333)",3
BROOKLYN,Vermont Av,91745-1808,CA,34.54722219,-118.4013,2014-02-21T14:46:00.000Z,2005,"(34.22279, -118.57123)","19850 DELANO ST
WOODLAND HILLS 91367
(34.182412, -118.565178)",5
NORTH HOLLYWOOD,Western Av,91306-1525,CA,34.26777775,-118.3444,2014-03-26T12:54:00.000Z,2005,"(34.15214, -118.46198)","5657 MERIDIAN ST
LOS ANGELES 90042
(34.120664, -118.194086)",2
CLEVELAND,260' W/O Broadway,90004,CA,34.26888886,-118.3881,2014-05-28T11:32:00.000Z,2006,"(34.05828, -118.37637)","645 N KENTER AVE
LOS ANGELES 90049
(34.070725, -118.488822)",5
ORANGE,Henry Ford Av,91301-1601,CA,34.22611108,-118.3076,2014-06-04T06:27:00.000Z,2005,"(34.05429, -118.25967)","11407 BRAINARD AV
LAKE VIEW TERRACE 91342
(34.277259, -118.363512)",6
DIAMOND BAR,940' S/O San Fernando Rd,91311-1639,CA,34.32638886,-118.4195,2014-06-06T07:16:00.000Z,2005,"(34.0913, -118.33617)","1260 W 36TH PL
LOS ANGELES 90007
(34.022002, -118.294894)",6
TARZANA,Crescent Av,90004,CA,34.54722219,-118.4066,2014-06-19T06:24:00.000Z,2006,"(34.22774, -118.45192)","310 S LAFAYETTE PARK PL
LOS ANGELES 90057
(34.066705, -118.280839)",4
SAN GABRIEL,Broadway,90004,CA,34.21499997,-118.4342,2014-06-27T11:00:00.000Z,2005,"(34.04761, -118.41527)","1724 W 53RD ST
LOS ANGELES 90062
(33.994167, -118.307533)",4
SUN VALLEY,Lassen St,91335-2122,CA,34.26777775,-118.4007,2014-07-09T15:13:00.000Z,2006,"(34.06184, -118.26969)","2150 DUANE ST
LOS ANGELES 90039
(34.089429, -118.258003)",2
SEATTLE,Century Bl,90004,CA,34.22527775,-118.4457,2013-11-07T08:22:00.000Z,2007,"(34.27455, -118.56289)","826 W 60TH ST
LOS ANGELES 90044
(33.985527, -118.288093)",1
MISSISSAUGA ONTARIO L4Z4J3,Van Nuys Bl,90004,CA,34.2258333,-118.4143,2014-06-20T08:23:00.000Z,2004,"(34.07339, -118.33429)","1017 W 47TH ST
LOS ANGELES 90037
(34.000613, -118.292278)",4
ATLANTA,Leghorn Av,90004,CA,34.32638886,-118.392,2014-10-07T07:51:00.000Z,2006,"(34.06939, -118.26593)","13000 HART ST
NORTH HOLLYWOOD 91605
(34.197588, -118.416495)",7
LEANDER,21st St (San Pedro),93065-5052,CA,34.4358333,-118.3936,2014-10-31T00:00:00.000Z,2006,"(34.20182, -118.43147)","405 E 122ND ST
LOS ANGELES 90061
(33.921292, -118.267144)",4
TUSTIN,Zoo Dr (S Jog),90004,CA,34.54722219,-118.4,2014-11-14T08:06:00.000Z,2006,"(34.02809, -118.23234)","4443 LIVE OAK ST
CUDAHY 90201
(33.968052, -118.188575)",3
FORT LEE,Griffith Park Dr,90004,CA,34.34999997,-118.4167,2014-12-02T07:18:00.000Z,2005,"(34.10153, -118.29439)","1133 N MARIPOSA AVE
LOS ANGELES 90029
(34.091568, -118.299412)",4
MCLEAN,Verdugo Rd,75221-9088,CA,34.21444441,-118.4111,2014-12-10T15:01:00.000Z,2005,"(34.04704, -118.22011)","152 N VERMONT AVE
LOS ANGELES 90004
(34.073892, -118.291682)",5
BAKERSFIELD,Topanga Canyon Bl,93063-2352,CA,34.32499997,-118.4445,2014-12-17T14:21:00.000Z,2005,"(34.06983, -118.2261)","1771 W 36TH ST
LOS ANGELES 90018
(34.022815, -118.311042)",3
SHERWOOD FOREST,Westdale Av,90004,CA,34.32916664,-118.4384,2014-12-22T11:16:00.000Z,2005,"(34.18676, -118.53452)","1750 YOSEMITE DR
LOS ANGELES 90041
(34.133208, -118.205026)",5
UPLAND,Roscoe Bl,90004,CA,34.26888886,-118.4417,2014-12-02T00:00:00.000Z,2005,"(34.19202, -118.40085)","12749 EL DORADO AVE
SYLMAR 91342
(34.301498, -118.465598)",3
VALENCIA,State Dr,90004,CA,34.2258333,-118.4376,2015-02-06T13:21:00.000Z,2005,"(34.26511, -118.4393)","1536 E 89TH ST
LOS ANGELES 90002
(33.956325, -118.246042)",2
VANCOUVER,San Fernando Rd,90004,CA,34.38611108,-118.4306,2013-10-08T13:04:00.000Z,2005,"(34.15954, -118.44248)","1570 W SEVENTH ST
SAN PEDRO 90732
(33.737928, -118.310025)",4
MEMPHIS,Av 43,91311-5926,CA,34.54722219,-118.4453,2015-02-24T15:20:00.000Z,2007,"(34.26459, -118.49686)","2265 E 103RD ST
LOS ANGELES 90002
(33.943103, -118.231149)",2
ARLETA,Barham Bl,90004,CA,34.26888886,-118.4447,2015-02-24T15:21:00.000Z,2006,"(34.07316, -118.26665)","14041 CHASE ST
PANORAMA CITY 91402
(34.225693, -118.43944)",3
LONG BEACH,Anaheim St,90004,CA,34.32444441,-118.449,2015-02-24T15:22:00.000Z,2006,"(34.02576, -118.26022)","1001 W 253RD ST
HARBOR CITY 90710
(33.794709, -118.293219)",1
SANTA CLARITA,Vista Del Mar,90004,CA,34.22611108,-118.4667,2015-02-25T14:43:00.000Z,2005,"(34.05076, -118.248)","680 LITTLE ST
LOS ANGELES 90017
(34.055012, -118.272628)",2
HONOLULU,Los Feliz Bl,90004,CA,34.21499997,-118.4485,2015-03-04T11:52:00.000Z,2006,"(34.00611, -118.33405)","8140 Vicki Dr
Whittier 90606
(33.970536, -118.075888)",4
Venice,2000' E/O Pershing Dr,91311-3307,CA,34.3233333,-118.4494,2015-03-10T11:33:00.000Z,2008,"(34.01267, -118.25724)","2401 WILSHIRE BLVD
LOS ANGELES 90057
(34.059793, -118.279869)",6
Wilshire,Channel St,90004,CA,34.54722219,-118.4389,2015-04-02T08:58:00.000Z,2007,"(33.79703, -118.28265)","16715 Jersey Ave
Artesia 90701
(33.879935, -118.085629)",1
Hollywood,Sunland Bl,90004,CA,34.54722219,-118.4279,2015-04-21T09:19:00.000Z,2006,"(34.05509, -118.39349)","827 W 60TH ST
LOS ANGELES 90044
(33.985527, -118.288059)",5
Leimert Park,Riverside Dr,91311-3208,CA,34.38611108,-118.4571,2012-12-06T08:50:00.000Z,2007,"(34.26616, -118.49334)","1110 W 119TH ST
LOS ANGELES 90044
(33.925047, -118.293407)",1
Lincoln Heights,Jefferson Bl,48201-3467,CA,34.74444441,-118.469,2015-04-07T07:21:00.000Z,2007,"(34.09949, -118.32934)","5353 KESTER AVE
VAN NUYS 91411
(34.167578, -118.457443)",5
Highland Park,Rodeo Rd,91405-1020,CA,34.21444441,-118.4595,2015-05-12T11:26:00.000Z,2007,"(34.08603, -118.19017)","9515 PINEHURST AVE
SOUTH GATE 90280
(33.945321, -118.182331)",2
San Pedro,989' N/O Village Way,64105-1905,CA,34.54722219,-118.4168,2015-05-21T12:39:00.000Z,2008,"(34.0669, -118.26416)","6921 WOODROW WILSON DR
LOS ANGELES 90068
(34.124972, -118.345277)",5
Echo Park,Pico Bl,90004,CA,34.38611108,-118.4723,2014-07-31T16:17:00.000Z,2005,"(34.04108, -118.25325)","8919 S MAIN ST
LOS ANGELES 90003
(33.954753, -118.273875)",6
Wilmington,Manning Av,90004,CA,34.8033333,-118.4211,2014-07-22T07:24:00.000Z,2006,"(34.22149, -118.42126)","14859 W RAYEN ST
PANORAMA CITY 91402
(34.231828, -118.457192)",6
El Sereno,Calabasas Rd,91506-2630,CA,34.74444441,-118.4275,2014-07-18T11:07:00.000Z,2006,"(34.18016, -118.38363)","4168 W AVE 42
LOS ANGELES 90065
(34.127347, -118.22751)",5
Westwood Village,Fountain Av,90004,CA,34.21444441,-118.4468,2015-03-09T13:46:00.000Z,2007,"(34.12626, -118.21412)","7500 MARBRISA AVE
WALNUT PARK 90255
(33.97156, -118.231438)",5
Pacific Palisades,Lomita Bl,90004,CA,34.22611108,-118.4511,2015-06-30T15:59:00.000Z,2006,"(34.13838, -118.35964)","13210 PURCHE AVE
GARDENA 90249
(33.911653, -118.320431)",7
Boyle Heights,Front St,90004,CA,34.21444441,-118.429,2015-07-13T13:20:00.000Z,2006,"(34.05398, -118.22644)","3501 N BROADWAY
LOS ANGELES 90031
(34.073843, -118.201319)",6
Eagle Rock,Sherman Way,91311-3302,CA,34.21444441,-118.4664,2016-08-08T00:00:00.000Z,2006,"(34.2298, -118.4018)","3333 KERCKHOFF AVE
SAN PEDRO 90731
(33.714147, -118.289765)",7
Studio City,Valerio St,90004,CA,34.21444441,-118.4665,2013-11-15T14:58:00.000Z,2006,"(34.05069, -118.24458)","1947 MARINE AVE
GARDENA 90249
(33.894661, -118.312861)",4
Sylmar,Laurel Canyon Bl,91327-7721,CA,34.21916664,-118.4669,2015-08-20T15:28:00.000Z,2007,"(34.04085, -118.25367)","1303 YOSEMITE DR
LOS ANGELES 90041
(34.13302, -118.194629)",2
Pomona,Tyrone Av,90004,CA,34.32444441,-118.4658,2015-09-02T08:18:00.000Z,2010,"(34.07224, -118.2473)","22120 CHASE ST
CANOGA PARK 91304
(34.224227, -118.607968)",6
Palmdale,Sunnyslope Av,90004,CA,34.22611108,-118.4166,2015-06-08T14:37:00.000Z,2008,"(34.22236, -118.44896)","10401 WEIGAND AVE
LOS ANGELES 90002
(33.941648, -118.229637)",7
Redondo Beach,Coldwater Canyon Av,91320-3848,CA,34.21499997,-118.4068,2017-01-27T00:00:00.000Z,2006,"(34.12549, -118.26436)","10115 HADDON AVE
PACOIMA 91331
(34.254045, -118.421305)",5
Rolling Hills,Valley Circle Bl,91311-2370,CA,34.24416664,-118.4113,2015-10-01T15:33:00.000Z,2006,"(34.04637, -118.40785)","309 LUCAS AVE
LOS ANGELES 90017
(34.057929, -118.261863)",7
Carson,Whitsett Av/Arleta Dr,90004,CA,34.22722219,-118.4091,2015-09-29T07:24:00.000Z,2006,"(34.01984, -118.28615)","11724 ADDISON ST
NORTH HOLLYWOOD 91607
(34.161258, -118.388886)",3
Manhattan Beach,Arden Pl,90004,CA,34.32388886,-118.428,2013-06-20T16:25:00.000Z,2006,"(34.18131, -118.60555)","4211 OAKWOOD AVE
LOS ANGELES 90004
(34.077637, -118.299734)",3
Covina,26th St,90004,CA,34.32388886,-118.4258,2015-10-22T09:28:00.000Z,2006,"(34.03796, -118.24435)","2925 VIRGINIA RD
LOS ANGELES 90016
(34.028522, -118.339462)",2
Gardena,Sepulveda Bl,90004,CA,34.54722219,-118.4136,2015-11-03T15:56:00.000Z,2006,"(34.11141, -118.28722)","1403 FAIRBURN AVE
LOS ANGELES 90024
(34.059332, -118.430857)",6
Inglewood,300' N/O Sherman Oaks Av,60181-4623,CA,34.38611108,-118.4259,2015-11-10T12:15:00.000Z,2006,"(34.06488, -118.47066)","4120 11TH AVE
LOS ANGELES 90008
(34.009668, -118.329569)",6
Santa Fe Springs,Ohio Av,90004,CA,34.32388886,-118.4316,2013-10-01T06:47:00.000Z,2006,"(34.03887, -118.2918)","744 E Doran St
Glendale 91206
(34.154656, -118.246178)",5
Claremont,Centinela Av,90004,CA,34.21444441,-118.4492,2015-11-12T00:00:00.000Z,2006,"(34.10102, -118.33116)","1050 E 52ND PL
LOS ANGELES 90011
(33.995044, -118.25711)",7
Whittier,Sherman Wy/Platt Av,90004,CA,34.22555553,-118.4503,2016-06-21T00:00:00.000Z,2006,"(34.04645, -118.21774)","607 N WESTMORELAND
LOS ANGELES 90004
(34.082406, -118.288013)",1
Lancaster,Laurel Cyn Bl,90004,CA,34.21388886,-118.4154,2016-01-20T12:59:00.000Z,2006,"(34.12103, -118.20383)","11133 CHARNOCK RD
LOS ANGELES 90034
(34.017131, -118.419769)",6
Downey,Venice Wy,90004,CA,34.32638886,-118.4234,2015-12-30T13:55:00.000Z,2006,"(34.09164, -118.27792)","6055 CORONA AVE
HUNTINGTON PARK 90255
(33.985265, -118.194867)",4
Arcadia,Sheldon St,91311-2727,CA,34.22555553,-118.3954,2016-02-22T14:55:00.000Z,2006,"(34.12171, -118.20879)","2112 W 74TH ST
LOS ANGELES 90047
(33.972776, -118.316638)",7
Temple City,Pershing Dr,90004,CA,34.26888886,-118.4032,2017-04-07T00:00:00.000Z,2006,"(34.05906, -118.44376)","8435 VICTORIA AVE
SOUTH GATE 90280
(33.959037, -118.20925)",4
Lynwood,Paseo Del Mar,90004,CA,34.21999997,-118.4318,2016-02-19T00:00:00.000Z,2006,"(34.06086, -118.27891)","5057 LIVE OAK ST
CUDAHY 90201
(33.966815, -118.1768)",6
Harbor City,Zoo Dr (N Jog),90004,CA,34.32499997,-118.4319,2016-02-23T00:00:00.000Z,2006,"(34.05484, -118.26169)","632 N AVE 50
LOS ANGELES 90042
(34.110159, -118.205957)",7
Alhambra,Wellworth Av,90004,CA,34.26777775,-118.4012,2016-03-01T09:53:00.000Z,2006,"(34.05582, -118.23909)","8511 COMPTON AVE
LOS ANGELES 90001
(33.961109, -118.247657)",7
South Gate,Victory Bl,90004,CA,34.26777775,-118.4004,2016-03-02T07:50:00.000Z,2006,"(34.00646, -118.30001)","2642 OLIVE ST
HUNTINGTON PARK 90255
(33.968094, -118.222757)",3
Pico Rivera,Gault St,90004,CA,34.22611108,-118.4778,2016-03-09T00:00:00.000Z,2006,"(34.07587, -118.37754)","1321 E 61ST ST
LOS ANGELES 90001
(33.984325, -118.251194)",6
Lakewood,Eagle Rock Bl,90004,CA,34.26777775,-118.5215,2016-09-05T00:00:00.000Z,2006,"(34.22967, -118.55337)","725 S INDIANA ST
LOS ANGELES 90023
(34.027061, -118.192318)",4
Lawndale,Forest Lawn Dr,91394-3606,CA,34.26777775,-118.5147,2016-03-14T00:00:00.000Z,2006,"(33.97409, -118.378)","14550 BLEDSOE ST
SYLMAR 91342
(34.319004, -118.449966)",6
Torrance,McClintock Av,90004,CA,34.26777775,-118.5179,2015-02-05T10:13:00.000Z,2006,"(34.03563, -118.23389)","12221 JUNIETTE ST
CULVER CITY 90230
(33.98219, -118.409272)",7
Compton,Buckingham Rd,90004,CA,34.26777775,-118.5605,2016-01-05T12:39:00.000Z,2006,"(33.94462, -118.24605)","4201 FOUNTAIN AVE
LOS ANGELES 90029
(34.095788, -118.280886)",4
Avalon,Firth Bl/Compton Av,90004,CA,34.26777775,-118.5618,2016-03-24T13:07:00.000Z,2006,"(34.07694, -118.28812)","5701 FISHBURN AVE
MAYWOOD 90270
(33.988689, -118.189899)",3
